student_id,status,is_dropout,program_studi,jalur_masuk,status_pernikahan,jenis_kelamin,kelas,usia_saat_daftar,kelompok_usia,status_spp,punya_tunggakan,penerima_beasiswa,mahasiswa_displaced,nilai_masuk,nilai_pendidikan_sebelumnya,mk_diambil_sem1,mk_lulus_sem1,nilai_sem1,mk_diambil_sem2,mk_lulus_sem2,nilai_sem2,rasio_kelulusan_mk_sem1,rasio_kelulusan_mk_sem2,skor_risiko_dropout,sumber_skor,prediksi_berisiko,kategori_risiko
JJI-00011,Graduate,0.0,Advertising & Marketing Management,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,130.6,139.0,6,6,12.33,6,5,14.2,1.0,0.833,0.1643,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00012,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Ya,Ya,119.3,136.0,8,7,13.21,8,7,13.21,0.875,0.875,0.0638,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00013,Dropout,1.0,Basic Education,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Tidak,Ya,130.2,133.0,6,0,0.0,6,0,0.0,0.0,0.0,0.9965,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00014,Graduate,0.0,Tourism,Pemegang diploma short cycle,Lajang,Perempuan,Siang,21,21-23 th,Lunas,Tidak,Ya,Ya,111.8,110.0,6,6,10.57,6,5,11.0,1.0,0.833,0.1359,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00015,Graduate,0.0,Veterinary Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Ya,Ya,137.1,149.0,5,4,13.25,5,5,12.0,0.8,1.0,0.0567,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00016,Dropout,1.0,Journalism & Communication,Fase 1 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,120.7,127.0,6,5,13.2,6,0,0.0,0.833,0.0,0.9773,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00017,Enrolled,,Social Service,Fase 3 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,137.4,137.0,6,1,12.0,6,2,11.0,0.167,0.333,0.9323,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00018,Graduate,0.0,Nursing,Fase 2 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,127.3,135.0,7,7,13.31,8,8,14.54,1.0,1.0,0.0548,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00019,Graduate,0.0,Equinculture,Fase 1 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,136.3,137.0,5,4,12.5,5,4,12.25,0.8,0.8,0.3693,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00020,Enrolled,,Basic Education,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,124.6,140.0,7,6,11.67,7,6,13.5,0.857,0.857,0.3134,prediksi model (mahasiswa masih aktif),Aman,Sedang
JJI-00021,Graduate,0.0,Animation & Multimedia Design,Fase 1 - kuota umum,Lajang,Perempuan,Siang,21,21-23 th,Lunas,Tidak,Ya,Tidak,120.3,122.0,0,0,0.0,0,0,0.0,,,0.3861,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00022,Enrolled,,Oral Hygiene,Fase 3 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,121.8,127.0,7,7,11.44,8,8,11.42,1.0,1.0,0.1506,prediksi model (mahasiswa masih aktif),Aman,Rendah
JJI-00023,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,125.5,142.0,8,7,12.86,8,7,12.86,0.875,0.875,0.177,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00024,Graduate,0.0,Advertising & Marketing Management,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Ya,Ya,114.9,125.0,6,6,13.38,6,6,12.29,1.0,1.0,0.0644,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00025,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Tidak,Tidak,123.9,126.0,7,6,13.3,8,7,14.11,0.857,0.875,0.0955,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00026,Enrolled,,Social Service,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Ya,Ya,Ya,157.0,151.0,6,5,11.6,6,4,11.0,0.833,0.667,0.4031,prediksi model (mahasiswa masih aktif),Aman,Sedang
JJI-00027,Graduate,0.0,Social Service,Fase 2 - kuota umum,Lajang,Perempuan,Siang,21,21-23 th,Lunas,Tidak,Tidak,Ya,116.4,115.0,6,6,11.38,6,6,13.29,1.0,1.0,0.0959,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00028,Enrolled,,Veterinary Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,131.0,138.0,5,5,12.67,5,4,13.0,1.0,0.8,0.1941,prediksi model (mahasiswa masih aktif),Aman,Rendah
JJI-00029,Graduate,0.0,Management,Fase 1 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,122.1,135.0,5,5,12.0,5,5,12.33,1.0,1.0,0.1193,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00030,Enrolled,,Nursing,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Tidak,Tidak,Ya,118.8,127.0,7,6,12.93,7,6,13.72,0.857,0.857,0.2703,prediksi model (mahasiswa masih aktif),Aman,Rendah
JJI-00031,Enrolled,,Agronomy,Pemegang diploma spesialisasi teknologi,Lajang,Laki-laki,Siang,21,21-23 th,Lunas,Tidak,Tidak,Tidak,150.0,150.0,6,5,11.86,6,5,10.57,0.833,0.833,0.4803,prediksi model (mahasiswa masih aktif),Aman,Sedang
JJI-00032,Graduate,0.0,Communication Design,Pindah institusi/prodi,Lajang,Laki-laki,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,130.0,125.0,6,6,12.83,6,4,13.4,1.0,0.667,0.4429,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00033,Enrolled,,Management,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Menunggak,Tidak,Tidak,Tidak,138.8,143.0,5,3,11.33,5,2,13.5,0.6,0.4,0.8998,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00034,Graduate,0.0,Social Service (kelas malam),Fase 3 - kuota umum,Lajang,Perempuan,Malam,19,≤20 th,Lunas,Tidak,Tidak,Ya,134.5,138.0,6,6,12.67,6,6,14.38,1.0,1.0,0.0795,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00035,Graduate,0.0,Management (kelas malam),Fase 1 - kuota umum,Lajang,Laki-laki,Malam,34,28-35 th,Lunas,Tidak,Tidak,Tidak,131.4,130.0,5,5,12.4,5,5,13.43,1.0,1.0,0.2386,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00036,Dropout,1.0,Biofuel Production Technologies,Usia di atas 23 tahun,Lajang,Laki-laki,Siang,37,>35 th,Menunggak,Ya,Tidak,Tidak,102.5,130.0,7,0,0.0,7,1,10.0,0.0,0.143,0.9997,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00037,Dropout,1.0,Informatics Engineering,Usia di atas 23 tahun,Lajang,Laki-laki,Siang,43,>35 th,Lunas,Tidak,Tidak,Ya,128.8,133.1,5,0,0.0,5,0,0.0,0.0,0.0,0.9977,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00038,Dropout,1.0,Management,Pindah program studi,Lajang,Perempuan,Siang,55,>35 th,Lunas,Tidak,Tidak,Tidak,122.9,140.0,5,1,10.0,5,2,12.0,0.2,0.4,0.9525,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00039,Graduate,0.0,Management (kelas malam),Usia di atas 23 tahun,Bercerai,Perempuan,Malam,39,>35 th,Lunas,Tidak,Tidak,Ya,113.9,120.0,5,5,11.0,5,5,11.6,1.0,1.0,0.2311,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00040,Dropout,1.0,Equinculture,Pemegang diploma spesialisasi teknologi,Lajang,Perempuan,Siang,20,≤20 th,Menunggak,Ya,Tidak,Tidak,120.0,120.0,6,3,11.67,6,3,12.0,0.5,0.5,0.9856,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00041,Dropout,1.0,Journalism & Communication,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Ya,Tidak,Tidak,121.1,126.0,6,4,12.75,5,0,0.0,0.667,0.0,0.979,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00042,Graduate,0.0,Management,Fase 1 - kuota umum,Lajang,Perempuan,Siang,22,21-23 th,Lunas,Tidak,Tidak,Ya,120.4,133.0,5,5,14.8,5,5,15.8,1.0,1.0,0.0777,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00043,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,22,21-23 th,Lunas,Tidak,Tidak,Ya,100.6,103.0,7,5,13.93,8,7,14.34,0.714,0.875,0.1798,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00044,Dropout,1.0,Journalism & Communication,Fase 2 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Menunggak,Tidak,Tidak,Tidak,121.4,120.0,6,4,13.0,6,5,13.8,0.667,0.833,0.7244,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00045,Dropout,1.0,Management (kelas malam),Usia di atas 23 tahun,Lajang,Perempuan,Malam,29,28-35 th,Lunas,Tidak,Tidak,Tidak,109.7,133.1,5,0,0.0,5,0,0.0,0.0,0.0,0.9886,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00046,Enrolled,,Management (kelas malam),Fase 2 - kuota umum,Lajang,Perempuan,Malam,24,24-27 th,Lunas,Tidak,Tidak,Tidak,134.1,154.0,5,2,11.5,5,3,14.33,0.4,0.6,0.7781,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00047,Graduate,0.0,Social Service,Fase 2 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,127.6,130.0,6,6,11.67,6,5,13.2,1.0,0.833,0.1138,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00048,Graduate,0.0,Nursing,Fase 2 - kuota umum,Lajang,Perempuan,Siang,22,21-23 th,Lunas,Tidak,Ya,Ya,132.4,132.0,7,6,13.52,8,7,13.77,0.857,0.875,0.1064,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00049,Graduate,0.0,Social Service (kelas malam),Pemegang diploma spesialisasi teknologi,Lajang,Perempuan,Malam,21,21-23 th,Lunas,Tidak,Ya,Tidak,133.4,130.0,6,6,11.5,6,6,13.29,1.0,1.0,0.0251,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00050,Graduate,0.0,Social Service,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Ya,Tidak,126.1,139.0,6,5,12.33,6,6,12.83,0.833,1.0,0.0359,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00051,Graduate,0.0,Tourism,Usia di atas 23 tahun,Lajang,Perempuan,Siang,24,24-27 th,Lunas,Tidak,Ya,Tidak,113.5,130.0,6,6,13.67,6,6,14.17,1.0,1.0,0.0399,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00052,Enrolled,,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Ya,Ya,121.3,139.0,8,6,11.83,8,6,11.83,0.75,0.75,0.2272,prediksi model (mahasiswa masih aktif),Aman,Rendah
JJI-00053,Enrolled,,Journalism & Communication,Fase 1 - kuota umum,Lajang,Perempuan,Siang,20,≤20 th,Lunas,Tidak,Ya,Ya,121.8,127.0,6,4,14.0,6,3,11.0,0.667,0.5,0.7026,prediksi model (mahasiswa masih aktif),Berisiko,Tinggi
JJI-00054,Graduate,0.0,Equinculture,Fase 1 - kuota umum,Lajang,Perempuan,Siang,19,≤20 th,Lunas,Tidak,Tidak,Tidak,159.3,167.0,5,5,14.71,5,5,15.8,1.0,1.0,0.0895,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00055,Dropout,1.0,Management (kelas malam),Usia di atas 23 tahun,Lajang,Perempuan,Malam,27,24-27 th,Lunas,Tidak,Tidak,Tidak,120.0,130.0,5,5,10.6,5,5,11.0,1.0,1.0,0.2776,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00056,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,129.1,130.0,7,7,13.04,8,8,13.6,1.0,1.0,0.0442,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00057,Dropout,1.0,Tourism,Pemegang gelar pendidikan tinggi lain,Menikah,Perempuan,Siang,39,>35 th,Lunas,Tidak,Tidak,Tidak,130.0,130.0,6,0,0.0,6,0,0.0,0.0,0.0,0.9982,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00058,Dropout,1.0,Equinculture,Usia di atas 23 tahun,Lajang,Perempuan,Siang,27,24-27 th,Lunas,Tidak,Tidak,Ya,155.3,129.0,6,5,13.0,11,10,12.9,0.833,0.909,0.1985,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00059,Graduate,0.0,Nursing,Fase 2 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,139.8,141.0,8,8,14.94,8,8,14.94,1.0,1.0,0.0522,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00060,Enrolled,,Animation & Multimedia Design,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,115.2,125.0,0,0,0.0,0,0,0.0,,,0.5734,prediksi model (mahasiswa masih aktif),Berisiko,Tinggi
JJI-00061,Graduate,0.0,Nursing,Fase 1 - kuota umum,Lajang,Perempuan,Siang,18,≤20 th,Lunas,Tidak,Tidak,Tidak,114.9,125.0,7,6,13.13,8,7,12.22,0.857,0.875,0.1384,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00062,Graduate,0.0,Social Service,Pemegang diploma spesialisasi teknologi,Lajang,Perempuan,Siang,21,21-23 th,Lunas,Tidak,Ya,Tidak,131.9,130.0,6,6,12.0,6,6,12.0,1.0,1.0,0.0294,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00063,Enrolled,,Animation & Multimedia Design,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Tidak,Ya,Ya,126.0,133.0,0,0,0.0,0,0,0.0,,,0.6144,prediksi model (mahasiswa masih aktif),Berisiko,Tinggi
JJI-00064,Enrolled,,Communication Design,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Tidak,Tidak,Ya,130.2,127.0,6,5,11.4,6,1,10.0,0.833,0.167,0.9144,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00065,Enrolled,,Communication Design,Pindah program studi,Lajang,Laki-laki,Siang,24,24-27 th,Lunas,Tidak,Tidak,Tidak,120.9,116.0,6,0,0.0,6,0,0.0,0.0,0.0,0.9965,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00066,Dropout,1.0,Nursing,Transfer,Bercerai,Laki-laki,Siang,29,28-35 th,Lunas,Tidak,Tidak,Ya,126.0,133.1,7,5,11.9,8,5,11.0,0.714,0.625,0.6677,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00067,Graduate,0.0,Animation & Multimedia Design,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Tidak,Ya,Ya,128.2,139.0,0,0,0.0,0,0,0.0,,,0.451,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00068,Graduate,0.0,Agronomy,Pemegang diploma spesialisasi teknologi,Lajang,Laki-laki,Siang,23,21-23 th,Lunas,Tidak,Tidak,Ya,130.0,130.0,6,6,12.57,6,6,12.43,1.0,1.0,0.1305,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00069,Dropout,1.0,Management,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Ya,Tidak,Tidak,120.1,125.0,5,5,11.2,5,4,10.75,1.0,0.8,0.5099,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00070,Enrolled,,Tourism,Usia di atas 23 tahun,Lajang,Laki-laki,Siang,26,24-27 th,Lunas,Tidak,Tidak,Tidak,100.0,160.0,6,6,12.0,6,5,10.8,1.0,0.833,0.343,prediksi model (mahasiswa masih aktif),Aman,Sedang
JJI-00071,Enrolled,,Management,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Tidak,Tidak,Tidak,134.0,148.0,5,0,0.0,5,0,0.0,0.0,0.0,0.9934,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00072,Graduate,0.0,Nursing,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,24,24-27 th,Lunas,Tidak,Tidak,Tidak,130.8,150.0,7,7,11.98,8,8,13.75,1.0,1.0,0.0893,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00073,Dropout,1.0,Animation & Multimedia Design,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Tidak,Tidak,Ya,135.8,141.0,0,0,0.0,0,0,0.0,,,0.5902,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00074,Dropout,1.0,Tourism,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,111.7,118.0,6,3,11.67,6,1,12.0,0.5,0.167,0.9642,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00075,Graduate,0.0,Journalism & Communication,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Tidak,Tidak,Ya,132.9,142.0,6,6,12.33,6,3,12.33,1.0,0.5,0.6416,prediksi out-of-fold (data berlabel),Berisiko,Tinggi
JJI-00076,Dropout,1.0,Management,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Ya,Tidak,Ya,115.5,120.0,5,3,10.33,5,3,10.86,0.6,0.6,0.8986,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00077,Dropout,1.0,Tourism,Fase 3 - kuota umum,Lajang,Laki-laki,Siang,21,21-23 th,Lunas,Tidak,Ya,Ya,106.0,106.0,6,4,10.5,6,1,11.0,0.667,0.167,0.8848,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00078,Graduate,0.0,Journalism & Communication,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,19,≤20 th,Lunas,Ya,Ya,Ya,120.3,121.0,6,6,13.67,6,6,13.33,1.0,1.0,0.2489,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00079,Graduate,0.0,Nursing,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,22,21-23 th,Lunas,Tidak,Ya,Tidak,130.8,150.0,7,7,14.84,8,8,15.06,1.0,1.0,0.0399,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00080,Graduate,0.0,Social Service (kelas malam),Usia di atas 23 tahun,Menikah,Laki-laki,Malam,33,28-35 th,Lunas,Tidak,Tidak,Tidak,117.0,120.0,6,6,12.0,6,6,11.67,1.0,1.0,0.1391,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00081,Dropout,1.0,Basic Education,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,110.2,114.0,6,5,12.2,6,5,12.2,0.833,0.833,0.5044,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00082,Dropout,1.0,Management (kelas malam),Usia di atas 23 tahun,Lajang,Laki-laki,Malam,35,28-35 th,Lunas,Tidak,Tidak,Ya,155.7,140.0,1,0,0.0,5,0,0.0,0.0,0.0,0.982,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00083,Dropout,1.0,Agronomy,Usia di atas 23 tahun,Lajang,Laki-laki,Siang,24,24-27 th,Lunas,Ya,Tidak,Tidak,180.4,160.0,12,6,12.17,12,10,13.3,0.5,0.833,0.7724,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00084,Enrolled,,Tourism,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Tidak,Tidak,Tidak,125.5,120.0,5,5,12.0,5,3,11.33,1.0,0.6,0.4645,prediksi model (mahasiswa masih aktif),Aman,Sedang
JJI-00085,Graduate,0.0,Social Service (kelas malam),Usia di atas 23 tahun,Menikah,Perempuan,Malam,33,28-35 th,Lunas,Tidak,Tidak,Ya,110.0,130.0,6,6,11.0,6,5,11.0,1.0,0.833,0.3039,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00086,Graduate,0.0,Nursing,Transfer,Lajang,Perempuan,Siang,22,21-23 th,Lunas,Tidak,Ya,Ya,161.0,160.0,8,7,13.08,8,7,13.08,0.875,0.875,0.0914,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00087,Graduate,0.0,Advertising & Marketing Management,Usia di atas 23 tahun,Lajang,Perempuan,Siang,25,24-27 th,Lunas,Tidak,Ya,Tidak,100.0,120.0,5,4,10.5,5,5,11.6,0.8,1.0,0.1517,prediksi out-of-fold (data berlabel),Aman,Rendah
JJI-00088,Graduate,0.0,Communication Design,Fase 2 - kuota umum,Lajang,Laki-laki,Siang,20,≤20 th,Lunas,Tidak,Tidak,Ya,117.6,124.0,6,6,10.67,6,5,11.2,1.0,0.833,0.3555,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00089,Enrolled,,Management,Fase 1 - kuota umum,Lajang,Laki-laki,Siang,23,21-23 th,Lunas,Tidak,Tidak,Ya,128.7,143.0,5,4,14.0,5,5,13.8,0.8,1.0,0.2083,prediksi model (mahasiswa masih aktif),Aman,Rendah
JJI-00090,Enrolled,,Informatics Engineering,Pindah program studi,Lajang,Laki-laki,Siang,18,≤20 th,Lunas,Ya,Tidak,Ya,112.2,115.0,5,2,10.0,5,0,0.0,0.4,0.0,0.9978,prediksi model (mahasiswa masih aktif),Berisiko,Sangat Tinggi
JJI-00091,Dropout,1.0,Nursing,Usia di atas 23 tahun,Lajang,Laki-laki,Siang,24,24-27 th,Lunas,Tidak,Tidak,Tidak,100.8,133.1,7,0,0.0,7,0,0.0,0.0,0.0,0.9991,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00092,Graduate,0.0,Journalism & Communication,Fase 2 - kuota umum,Lajang,Perempuan,Siang,21,21-23 th,Menunggak,Tidak,Tidak,Ya,105.0,133.1,6,6,14.0,6,6,13.5,1.0,1.0,0.4144,prediksi out-of-fold (data berlabel),Aman,Sedang
JJI-00093,Dropout,1.0,Equinculture,Mahasiswa internasional (S1),Lajang,Perempuan,Siang,26,24-27 th,Lunas,Tidak,Tidak,Tidak,100.0,133.1,6,2,12.0,6,0,0.0,0.333,0.0,0.9914,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
JJI-00094,Dropout,1.0,Basic Education,Usia di atas 23 tahun,Menikah,Perempuan,Siang,39,>35 th,Lunas,Tidak,Tidak,Tidak,115.5,133.1,6,3,12.67,6,0,0.0,0.5,0.0,0.9979,prediksi out-of-fold (data berlabel),Berisiko,Sangat Tinggi
